Dataset,lambda_1,psi_1,lambda_2,psi_2,lambda_3,psi_3
MNIST,0.848 +/- 0.003,0.757 +/- 0.010,0.879 +/- 0.001,0.768 +/- 0.013,0.891 +/- 0.002,0.805 +/- 0.009
Fashion-MNIST,0.866 +/- 0.001,0.736 +/- 0.012,0.885 +/- 0.005,0.773 +/- 0.007,0.931 +/- 0.003,0.863 +/- 0.005
CIFAR-10,0.969 +/- 0.001,0.748 +/- 0.007,0.946 +/- 0.003,0.795 +/- 0.008,0.972 +/- 0.002,0.874 +/- 0.008
CIFAR-100,0.974 +/- 0.001,0.785 +/- 0.009,0.929 +/- 0.004,0.825 +/- 0.007,0.943 +/- 0.002,0.837 +/- 0.011
California Housing,0.735 +/- 0.024,0.577 +/- 0.054,0.799 +/- 0.057,0.669 +/- 0.032,0.840 +/- 0.031,0.709 +/- 0.022
