dataset,task_type,variant,variant_label,config_hash,field_on_output,is_alpha_trainable,use_delta_or_bias,lambda_init,psi_init,epochs_requested,batch_size,hidden_1,hidden_2,hidden_3,weight_decay,label_smoothing,lr_initial,n_runs,n_unique_seeds,expected_seeds,complete_seed_set,best_val_loss_mean,best_val_loss_std,best_val_accuracy_pct_mean,best_val_accuracy_pct_std,best_val_top5_accuracy_pct_mean,best_val_top5_accuracy_pct_std,best_val_mse_mean,best_val_mse_std,best_val_rmse_mean,best_val_rmse_std,best_val_rmse_usd_mean,best_val_rmse_usd_std,best_val_mae_mean,best_val_mae_std,best_val_mae_usd_mean,best_val_mae_usd_std,best_val_r2_mean,best_val_r2_std,test_loss_mean,test_loss_std,test_accuracy_pct_mean,test_accuracy_pct_std,test_top5_accuracy_pct_mean,test_top5_accuracy_pct_std,test_mse_mean,test_mse_std,test_rmse_mean,test_rmse_std,test_rmse_usd_mean,test_rmse_usd_std,test_mae_mean,test_mae_std,test_mae_usd_mean,test_mae_usd_std,test_r2_mean,test_r2_std,field1_lambda_mean,field1_lambda_std,field1_psi_mean,field1_psi_std,field2_lambda_mean,field2_lambda_std,field2_psi_mean,field2_psi_std,field3_lambda_mean,field3_lambda_std,field3_psi_mean,field3_psi_std,output_lambda_mean,output_lambda_std,output_psi_mean,output_psi_std,train_seconds_mean,train_seconds_std
california_housing,regression,aptx,APTx Neuron,cb06821ce71d,0,1,1,0.5,0.5,200,128,128,64,32,0.0001,0.0,0.0003,5,5,5,1,3093.1721183836,2699.761435376521,,,,,3093.1720648916175,2699.761355476667,52.199368267583,21.45920598941358,5219936.826758299,2145920.598941358,31.397255872109138,10.446255930782588,3139725.5872109137,1044625.5930782587,-2180.654203092177,1904.1765491723083,5471.452902434593,3575.8802539882117,,,,,5471.4528457443175,3575.880229342198,71.15371310502915,22.599832884103353,7115371.310502915,2259983.288410335,32.494637582653255,10.909440222534316,3249463.7582653253,1090944.0222534316,-4232.626381327241,2766.895978494024,,,,,,,,,,,,,,,,,322.3074768187944,65.35368361672812
california_housing,regression,aptx,APTx Neuron,cb06821ce71d,0,1,1,0.5,0.5,200,128,128,64,32,0.0001,0.0,0.0005,5,5,5,1,1771.9850850896316,1818.6708751631422,,,,,1771.9851053734837,1818.6709301618762,38.57637238307409,18.836420809693482,3857637.238307408,1883642.0809693483,22.251320815773667,8.396330349196756,2225132.0815773667,839633.0349196756,-1248.8039785220458,1282.7320936535878,2851.7195822545723,2007.240786513639,,,,,2851.719645101453,2007.2408898335405,50.939109157769494,17.92089574052792,5093910.915776949,1792089.5740527923,23.584382532446018,8.507200056507537,2358438.2532446017,850720.0056507537,-2205.564848866624,1553.1355609667173,,,,,,,,,,,,,,,,,292.09943369720133,2.232831642270142
california_housing,regression,aptx,APTx Neuron,cb06821ce71d,0,1,1,0.5,0.5,200,128,128,64,32,0.0001,0.0,0.001,5,5,5,1,527.6774222677069,495.5365266273653,,,,,527.6774318544982,495.53653961628277,21.065505038879163,10.242187834604403,2106550.5038879164,1024218.7834604402,11.863837321983405,5.727262739387365,1186383.7321983404,572726.2739387365,-371.17770719864217,349.50832083035027,1346.933761738622,1257.119422890845,,,,,1346.9337597231784,1257.119434979055,33.87662030219225,15.784025018364055,3387662.0302192257,1578402.5018364054,12.467527539680113,6.023612739434996,1246752.7539680111,602361.2739434997,-1041.2120887872877,972.7167818957074,,,,,,,,,,,,,,,,,299.17068046140486,13.612840107053382
california_housing,regression,aptx,APTx Neuron,cb06821ce71d,0,1,1,0.5,0.5,200,128,128,64,32,0.0001,0.0,0.002,5,5,5,1,71.22653385761171,153.5873412650709,,,,,71.2265353180409,153.58734446084406,4.871043022621403,7.705474935866401,487104.3022621403,770547.4935866401,2.7812575867500646,4.43823247837725,278125.7586750065,443823.247837725,-49.23699519080654,108.32713750003015,102.40068521305572,214.24173286097331,,,,,102.40068506670359,214.2417323205338,6.3384290225400495,8.819368074933543,633842.902254005,881936.8074933542,2.8809181394950714,4.609679216145646,288091.8139495071,460967.9216145646,-78.23420963073353,165.77305434313274,,,,,,,,,,,,,,,,,263.1368189508095,67.58376914733705
california_housing,regression,aptx,APTx Neuron,cb06821ce71d,0,1,1,0.5,0.5,200,128,128,64,32,0.0001,0.0,0.003,5,5,5,1,0.7171517223812813,0.6283879091156929,,,,,0.7171517287786393,0.6283879175251287,0.7937764564329168,0.3299065511463833,79377.64564329169,32990.655114638335,0.5773392592795019,0.2582001142182194,57733.9259279502,25820.01142182194,0.49418362427905826,0.44321011333363164,0.8480843147566152,0.7905598051623216,,,,,0.8480843150762467,0.7905598051908455,0.8542944449630943,0.3844888106002652,85429.44449630943,38448.88106002652,0.5885559904461279,0.2788240630024642,58855.5990446128,27882.406300246417,0.34378085106055467,0.6117086159074049,,,,,,,,,,,,,,,,,213.077799687488,73.26320708917413
california_housing,regression,aptx_field,APTx Neuron + Lambda-Psi,69b9cfb83c1a,1,1,1,0.5,0.5,200,128,128,64,32,0.0001,0.0,0.0003,5,5,5,1,0.3075938213241193,0.005320432186687443,,,,,0.3075938206561011,0.00532043153073426,0.5545949810777849,0.0047733137641022255,55459.49810777849,477.3313764102217,0.38341642006538634,0.004577999522795402,38341.642006538634,457.79995227954055,0.7830501059749232,0.0037525690675398148,0.32668798052987386,0.025559329080605566,,,,,0.3266879806276731,0.02555932862971112,0.5712208414960986,0.022212914829047397,57122.084149609866,2221.291482904739,0.3851893427363026,0.0059118244203136125,38518.934273630264,591.1824420313609,0.747219816703055,0.019776949747437208,0.5912869930267334,0.01350647942126582,0.5895015001296997,0.013345459239003045,0.5953926563262939,0.013433709535764522,0.5973848342895508,0.018474927899258663,0.6095845222473144,0.007613924212189525,0.5908278465270996,0.01495616051394304,0.6208244562149048,0.023778338048750316,0.8779318332672119,0.00764037704217293,464.63217051895333,43.04083550762587
california_housing,regression,aptx_field,APTx Neuron + Lambda-Psi,69b9cfb83c1a,1,1,1,0.5,0.5,200,128,128,64,32,0.0001,0.0,0.0005,5,5,5,1,0.29718288208625115,0.0038314596171254104,,,,,0.2971828826262915,0.003831458723549497,0.5451357168468078,0.003523642328682923,54513.571684680785,352.36423286829177,0.37707886014335845,0.004470930588535528,37707.88601433584,447.09305885355354,0.7903930750158847,0.002702377317796834,0.31288423265597615,0.02199220494275623,,,,,0.3128842313818826,0.02199220198784532,0.559095287441058,0.019257821238502986,55909.528744105795,1925.7821238502995,0.38008434242864914,0.0032853046588838396,38008.43424286491,328.5304658883828,0.757900694088969,0.017016827000828055,0.5980693101882935,0.014126853558396145,0.5923302173614502,0.012355389584303255,0.6038902997970581,0.013899879201233555,0.6028942704200745,0.019690297222716792,0.6231131553649902,0.009572560824806864,0.597202742099762,0.014870712784739493,0.6371956944465638,0.023938307082267792,0.9138700723648071,0.012658990253670996,247.38426502137446,17.332886689551877
california_housing,regression,aptx_field,APTx Neuron + Lambda-Psi,69b9cfb83c1a,1,1,1,0.5,0.5,200,128,128,64,32,0.0001,0.0,0.001,5,5,5,1,0.2783889785293461,0.003454803975403253,,,,,0.27838897670506235,0.003454804806321885,0.5276176935185795,0.0032684459603757416,52761.76935185795,326.8445960375736,0.3613690802495378,0.0027351132726601865,36136.90802495378,273.51132726601776,0.8036486595696672,0.002436718445806687,0.2934579457423484,0.02037099299908782,,,,,0.29345794541176123,0.020370995043133614,0.5414665586658052,0.01843608073762648,54146.65586658051,1843.6080737626482,0.3637806808020082,0.004491104290647509,36378.06808020083,449.110429064752,0.7729321014853211,0.01576239153656907,0.6133621811866761,0.013626323258131135,0.5816399931907654,0.007486209728362785,0.6287039875984192,0.013643908943209049,0.6052813053131103,0.015290429576343814,0.6659534096717834,0.020269818109327806,0.6185349822044373,0.016880412313741208,0.6640180826187134,0.021773048167792616,0.9696617960929871,0.013258406224943984,247.06101682982407,56.816199425424294
california_housing,regression,aptx_field,APTx Neuron + Lambda-Psi,69b9cfb83c1a,1,1,1,0.5,0.5,200,128,128,64,32,0.0001,0.0,0.002,5,5,5,1,0.271777760843898,0.0025449328536791757,,,,,0.27177776133055,0.0025449358826503286,0.5213185139147092,0.002441408484164573,52131.85139147091,244.1408484164572,0.3528394003709157,0.0032880065498923474,35283.94003709157,328.80065498923415,0.808311635151615,0.0017949761437466782,0.27395984886228575,0.0066335187112359405,,,,,0.27395984729658884,0.006633518922810166,0.523381395733828,0.006300981699201019,52338.13957338281,630.0981699201026,0.35261285343503423,0.006006046123795565,35261.28534350342,600.6046123795561,0.7880190747067582,0.0051327940684869995,0.6507574677467346,0.013329831630832577,0.5870075345039367,0.025093549171683972,0.6705129742622375,0.015799488812496855,0.6261104464530944,0.01838074221952216,0.7009144067764282,0.014773250762537445,0.6380675911903382,0.019001701354649545,0.6968041062355042,0.026557808542362553,0.9766475319862366,0.010580142953823223,176.47752403016202,29.927935652089094
california_housing,regression,aptx_field,APTx Neuron + Lambda-Psi,69b9cfb83c1a,1,1,1,0.5,0.5,200,128,128,64,32,0.0001,0.0,0.003,5,5,5,1,0.25897126507389456,0.007166559237460259,,,,,0.25897126577317403,0.007166559981409866,0.5088531267407479,0.007049927245935849,50885.31267407479,704.9927245935841,0.34127940591857875,0.005506739964180941,34127.94059185787,550.6739964180942,0.8173442218533863,0.005054667305002625,0.2649805157221565,0.005314582139778278,,,,,0.2649805162198174,0.005314582945166822,0.5147420336907269,0.005142345251912231,51474.2033690727,514.2345251912245,0.3422081719838487,0.004030363510670507,34220.81719838487,403.03635106704934,0.7949669794050249,0.004112245722799303,0.692717444896698,0.012682675497725598,0.5796282052993774,0.042664922485178364,0.7142301440238953,0.02878891897941603,0.6245867252349854,0.01663880043021288,0.7365326404571533,0.031024891789763552,0.6463055372238159,0.017015088223677217,0.7027404069900512,0.025930050243566562,0.9842956900596619,0.01107853817631055,174.91052789278328,36.43365487291569
